                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4748,                 2.9648,                 2.9814,                 0.7984,                 0.7378,                0.74408,                0.37554,                 1.7567,                  1.596,                 1.9315,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.5448,                 1.2989,                 1.8171,                0.87813,                0.76045,                 0.8319,                0.49851,                 1.4658,                 1.2328,                 1.7875,              0.0012864,              0.0012864,              0.0012864
                      3,                 1.4259,                 1.0255,                 1.6853,                0.93651,                0.85553,                0.91275,                0.53988,                 1.4231,                0.85816,                 1.6293,              0.0018652,              0.0018652,              0.0018652
                      4,                 1.3591,                0.91392,                 1.6291,                0.93445,                0.87054,                0.92512,                0.57726,                 1.3109,                 0.8298,                 1.5794,               0.001802,               0.001802,               0.001802
                      5,                 1.3144,                0.83364,                 1.5859,                0.95407,                0.88652,                0.93511,                0.55734,                 1.3776,                0.73639,                 1.6107,               0.001736,               0.001736,               0.001736
                      6,                 1.2712,                0.78214,                  1.548,                0.95489,                0.90356,                0.94021,                0.56939,                 1.3737,                0.74223,                 1.5915,                0.00167,                0.00167,                0.00167
                      7,                 1.2508,                0.74411,                 1.5359,                0.93734,                0.90244,                0.94522,                  0.614,                 1.2361,                0.73672,                 1.5008,               0.001604,               0.001604,               0.001604
                      8,                 1.2318,                0.72186,                 1.5275,                0.96139,                0.91097,                0.95703,                0.61203,                 1.2555,                  0.646,                 1.5449,               0.001538,               0.001538,               0.001538
                      9,                 1.2191,                0.69668,                 1.5106,                0.96049,                0.92356,                0.95862,                0.57333,                 1.3801,                0.63543,                 1.5962,               0.001472,               0.001472,               0.001472
                     10,                 1.1977,                0.67776,                 1.4952,                 0.9512,                0.91651,                0.95347,                0.62746,                 1.2058,                0.60923,                 1.4842,               0.001406,               0.001406,               0.001406
                     11,                 1.1842,                0.66279,                  1.486,                0.96176,                0.93105,                0.96323,                 0.6243,                 1.2777,                0.57231,                 1.5013,                0.00134,                0.00134,                0.00134
                     12,                 1.1758,                0.64937,                 1.4707,                0.96351,                0.92883,                0.96278,                0.62983,                 1.2173,                 0.5634,                  1.492,               0.001274,               0.001274,               0.001274
                     13,                 1.1667,                0.62748,                 1.4677,                0.96481,                0.93246,                0.96619,                0.60379,                 1.3133,                0.56513,                 1.5417,               0.001208,               0.001208,               0.001208
                     14,                 1.1554,                0.61598,                  1.453,                0.95794,                0.94003,                0.96779,                0.63096,                 1.2442,                0.53402,                  1.474,               0.001142,               0.001142,               0.001142
                     15,                 1.1501,                0.60857,                 1.4494,                0.97092,                0.93152,                0.96554,                0.64755,                 1.1952,                0.52055,                 1.4596,               0.001076,               0.001076,               0.001076
                     16,                 1.1366,                0.59545,                 1.4396,                0.96291,                0.93774,                0.96604,                0.64733,                 1.2145,                0.50227,                 1.4573,                0.00101,                0.00101,                0.00101
                     17,                  1.122,                0.57456,                 1.4319,                0.98029,                0.93326,                0.96876,                0.65308,                 1.1789,                 0.5087,                 1.4534,               0.000944,               0.000944,               0.000944
                     18,                 1.1137,                0.56854,                 1.4255,                0.97469,                0.93762,                 0.9724,                0.65578,                 1.1827,                0.48654,                 1.4477,               0.000878,               0.000878,               0.000878
                     19,                 1.1031,                0.55967,                 1.4169,                0.97515,                0.93856,                0.96931,                0.66335,                 1.1541,                0.49089,                 1.4304,               0.000812,               0.000812,               0.000812
                     20,                  1.098,                0.54695,                 1.4107,                0.97235,                0.94019,                0.97361,                0.66889,                 1.1531,                0.47699,                 1.4253,               0.000746,               0.000746,               0.000746
                     21,                 1.0681,                 0.4658,                 1.4081,                0.97957,                0.94278,                0.97563,                0.66389,                 1.1757,                0.47304,                 1.4571,                0.00068,                0.00068,                0.00068
                     22,                 1.0463,                0.45106,                 1.3852,                0.97314,                0.95153,                0.97612,                0.66133,                 1.1724,                0.46835,                 1.4352,               0.000614,               0.000614,               0.000614
                     23,                 1.0395,                0.44349,                 1.3872,                0.97714,                0.94278,                0.97602,                0.67478,                 1.1496,                0.45374,                 1.4271,               0.000548,               0.000548,               0.000548
                     24,                 1.0258,                 0.4328,                 1.3749,                0.97617,                0.93949,                0.97604,                0.67754,                 1.1494,                0.45352,                 1.4301,               0.000482,               0.000482,               0.000482
                     25,                 1.0163,                0.42402,                 1.3712,                0.97842,                0.94606,                0.97852,                 0.6733,                 1.1605,                 0.4478,                 1.4365,               0.000416,               0.000416,               0.000416
                     26,                 1.0066,                0.41847,                 1.3609,                0.97773,                0.94512,                0.97664,                0.68098,                 1.1345,                0.44605,                 1.4245,                0.00035,                0.00035,                0.00035
                     27,                  0.998,                0.41005,                 1.3508,                0.97359,                0.95122,                0.97792,                0.68187,                 1.1283,                0.44039,                 1.4125,               0.000284,               0.000284,               0.000284
                     28,                0.98536,                0.40204,                 1.3404,                0.97912,                0.94587,                0.97698,                0.68849,                 1.1207,                0.43474,                 1.4143,               0.000218,               0.000218,               0.000218
                     29,                0.97898,                0.39616,                 1.3364,                0.98193,                0.94323,                0.97672,                0.68808,                 1.1326,                0.43455,                 1.4217,               0.000152,               0.000152,               0.000152
                     30,                0.96762,                0.38955,                 1.3291,                 0.9796,                0.94619,                0.97791,                0.68608,                 1.1274,                0.43098,                 1.4176,                8.6e-05,                8.6e-05,                8.6e-05
